datetime,bank,basic_materials,chemicals,corporate_government,electricity,beverage,investment,technology2,insurance,investment_trust,leasing_factoring,machinery,all,technology,products,real_estate,sports,telecommunication,textile_leather,tourism,transportation,wholesale_retails,wood_paper_print
2008-01-31,901.26,429.22,255.76,461.5,26.37,440.63,330.15,49.15,862.18,133.85,109.12,310.04,415.96,78.1,461.21,281.25,474.54,254.13,55.9,61.58,115.96,343.14,299.78
2008-02-29,881.69,503.25,280.75,475.96,29.78,495.14,344.07,53.56,1095.39,127.33,99.04,323.75,435.67,83.54,475.32,273.71,527.56,301.47,59.28,69.45,119.03,367.65,290.84
2008-03-31,751.63,521.49,263.33,393.31,25.3,434.49,283.01,48.51,921.9,110.96,86.56,270.04,385.23,76.51,451.68,229.54,569.55,276.56,51.32,62.56,103.08,354.16,235.53
2008-04-30,852.41,624.59,299.08,463.16,30.58,451.87,329.95,52.93,1103.11,133.27,105.71,314.5,426.81,85.75,459.15,244.42,581.03,254.13,55.21,69.2,115.81,379.26,260.49
2008-05-31,734.3,587.45,277.46,397.59,32.43,454.74,314.24,46.84,1099.44,116.82,93.89,298.47,394.94,78.79,424.07,229.13,569.33,240.43,52.52,63.33,110.09,391.06,246.24
2008-06-30,594.84,712.16,245.18,349.51,31.45,403.03,283.45,39.08,944.21,107.17,87.25,249.65,346.48,67.45,359.7,214.67,654.54,186.92,44.93,48.94,89.52,385.76,209.3
2008-07-31,826.55,700.43,269.57,412.86,31.31,465.21,344.23,40.75,1079.74,115.41,98.26,272.17,413.18,67.86,384.23,228.18,730.13,223.79,45.75,50.73,100.54,383.61,245.18
2008-08-31,787.33,598.2,260.28,381.05,30.6,455.65,325.66,42.23,1084.25,117.46,105.16,267.74,393.56,69.95,395.1,226.49,749.27,205.94,49.8,52.18,107.26,402.53,236.25
2008-09-30,733.57,482.53,219.58,329.62,27.13,431.06,292.33,34.91,936.21,108.94,82.22,204.79,355.02,57.08,339.84,177.83,805.33,206.22,43.16,41.55,101.39,372.47,225.08
2008-10-31,576.09,350.12,163.78,269.48,19.97,391.73,205.11,31.76,605.13,85.85,50.93,135.83,275.16,48.42,260.75,121.41,538.97,186.17,32.63,32.78,68.11,259.45,169.12
